Código [-],Município [-],UF [-],DC [2024],RCL [2024],CAPAG [2024]
1701051,Angico,TO,3376454.18,23088494.94,n.d.
2400802,Angicos,RN,5095412.41,51276831.32,C
3300100,Angra dos Reis,RJ,148009773.81,2079870416.03,A
2901502,Anguera,BA,38516809.34,75854078.61,B
4101150,Ângulo,PR,3478929.14,31903840.7,A
5201207,Anhanguera,GO,374392.06,22050503.29,n.d.
3502309,Anhembi,SP,3502506.2,58069607.34,C
3502408,Anhumas,SP,721679.15,36740793.62,B
5201306,Anicuns,GO,14131318.75,93259649.83,C
2200707,Anísio de Abreu,PI,4484013.95,54315489.65,n.d.
4201000,Anita Garibaldi,SC,5793170.02,52135018.89,C
4201109,Anitápolis,SC,1089154.99,30657410.44,A
1300102,Anori,AM,6389799.19,87326751.69,C
4300703,Anta Gorda,RS,4066499.08,43675863.91,A
2901601,Antas,BA,14714191.1,99158287.56,B
4101200,Antonina,PR,44606502.61,130659960.06,n.d.
2300804,Antonina do Norte,CE,10712700.54,62081941.27,C
2200806,Antônio Almeida,PI,1083697.51,34678043.5,C
2901700,Antônio Cardoso,BA,11566370.79,57288510.85,n.d.
3102902,Antônio Carlos,MG,4757128.45,50489420.17,n.d.
4201208,Antônio Carlos,SC,2722750.69,72023652.81,A
3103009,Antônio Dias,MG,17245662.47,89004207.21,A
2901809,Antônio Gonçalves,BA,16382065.22,64319903.81,n.d.
5000906,Antônio João,MS,27528929.98,76966926.91,B
2400901,Antônio Martins,RN,3021073.42,34337722.4,n.d.
4101309,Antônio Olinto,PR,709674.47,41761515.59,A
4300802,Antônio Prado,RS,10810461.43,79731545.73,A+
3103108,Antônio Prado de Minas,MG,0.0,20929773.26,n.d.
2500775,Aparecida,PB,1201723.58,48385891.56,C
3502507,Aparecida,SP,15223550.11,99072793.18,C
5201405,Aparecida de Goiânia,GO,441266223.82,2147675189.93,n.e.
5201454,Aparecida do Rio Doce,GO,1532153.31,33839959.47,C
1701101,Aparecida do Rio Negro,TO,3725383.87,36878553.08,n.d.
5001003,Aparecida do Taboado,MS,33912755.63,188428491.47,A
3502606,Aparecida d'Oeste,SP,6819420.27,33284483.96,C
3300159,Aperibé,RJ,11873421.51,94802415.83,n.d.
3200508,Apiacá,ES,1972.69,42106477.79,C
5100805,Apiacás,MT,410756.43,74514146.63,B
3502705,Apiaí,SP,25985298.61,134180279.91,n.d.
2100832,Apicum-Açu,MA,10793887.02,91936506.82,C
4201257,Apiúna,SC,7023132.19,76432317.29,A
2401008,Apodi,RN,3163074.63,132471649.73,n.d.
2901908,Aporá,BA,26547864.38,83216929.29,n.d.
5201504,Aporé,GO,5552900.07,56922473.62,C
2901957,Apuarema,BA,44128086.67,70964589.27,n.d.
4101408,Apucarana,PR,142866696.13,635124619.96,B
1300144,Apuí,AM,22585362.7,84703170.47,C
2300903,Apuiarés,CE,8651532.38,66884064.94,C
2800209,Aquidabã,SE,23597694.79,101311489.63,n.d.
5001102,Aquidauana,MS,61193888.96,303565234.22,C
2301000,Aquiraz,CE,52332456.31,500271647.59,C
4201273,Arabutã,SC,7412940.44,47009654.29,A
2500809,Araçagi,PB,51323175.99,87714094.41,n.e.
3103207,Araçaí,MG,902316.51,27356267.94,n.d.
2800308,Aracaju,SE,1193025052.69,3227124901.09,B+
3502754,Araçariguama,SP,61308524.26,211141690.1,C
2902054,Araçás,BA,4106267.45,83477199.38,C
2301109,Aracati,CE,54717807.05,372139465.6,C
2902005,Aracatu,BA,36314884.24,73528183.93,n.d.
3502804,Araçatuba,SP,172411715.05,965202286.59,A
2902104,Araci,BA,314840924.67,305239557.32,C
3103306,Aracitaba,MG,1009165.04,22730853.0,C
2301208,Aracoiaba,CE,44426310.47,185007812.85,C
2601052,Araçoiaba,PE,37328792.14,95585622.16,C
3502903,Araçoiaba da Serra,SP,9872089.82,207411557.74,n.d.
3200607,Aracruz,ES,34936172.0,778641514.71,A+
5201603,Araçu,GO,1279608.62,10570427.29,n.d.
3103405,Araçuaí,MG,528831.63,153327533.54,C
5201702,Aragarças,GO,25020399.66,78362262.85,C
5201801,Aragoiânia,GO,14367164.18,58938861.81,n.d.
1701309,Aragominas,TO,4249220.05,29817202.77,n.d.
1701903,Araguacema,TO,5704880.36,46299741.45,n.d.
1702000,Araguaçu,TO,7011462.14,46402520.24,n.d.
5101001,Araguaiana,MT,342578.92,41845994.24,C
1702109,Araguaína,TO,310839727.79,907577834.77,A
5101209,Araguainha,MT,4113598.32,29147212.97,B
1702158,Araguanã,TO,0.0,0.0,n.d.
2100873,Araguanã,MA,16390463.66,99733635.99,C
5202155,Araguapaz,GO,5608562.86,43398855.12,C
3103504,Araguari,MG,42694510.29,757549988.77,C
1702208,Araguatins,TO,45036643.62,125877824.25,C
2100907,Araioses,MA,0.0,126377417.85,A
5001243,Aral Moreira,MS,6215575.25,83734697.41,C
2902203,Aramari,BA,26741125.82,70166960.86,C
4300851,Arambaré,RS,675498.89,41693744.2,A+
2100956,Arame,MA,1254925.69,121277180.49,C
3503000,Aramina,SP,7710202.31,31909493.15,n.d.
3503109,Arandu,SP,13492749.52,59503012.11,A
3103603,Arantina,MG,397479.41,29211237.73,A
3503158,Arapeí,SP,0.0,18840311.9,C
2700300,Arapiraca,AL,112055036.28,1091094970.52,B+
1702307,Arapoema,TO,15970625.97,35770173.88,n.d.
3103702,Araponga,MG,2997348.74,37324905.54,A
4101507,Arapongas,PR,38217083.12,526364524.08,n.e.
3103751,Araporã,MG,1017688.92,17422266.29,n.d.
4101606,Arapoti,PR,22991790.65,155123395.91,A
3103801,Arapuá,MG,5168062.68,28843074.25,B
4101655,Arapuã,PR,522914.57,32612697.15,A
5101258,Araputanga,MT,1875947.04,93193156.98,B
4201307,Araquari,SC,72592329.57,350096297.33,A
